,Unnamed: 0,country,club_name,club_code,link,gender,year,counter,link_image_club
20,20,Australia Football Clubs,Western-Sydney-Wanderers-Women,25b31403,https://fbref.com/en/squads/25b31403/2022-2023/all_comps/Western-Sydney-Wanderers-Women-Stats-All-Competitions,Female,2022,124,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/25b31403.png
21,21,Australia Football Clubs,Western-United,af4ccd77,https://fbref.com/en/squads/af4ccd77/2022-2023/all_comps/Western-United-Stats-All-Competitions,Male,2022,127,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/af4ccd77.png
22,22,Australia Football Clubs,Western-United-Women,0a911f26,https://fbref.com/en/squads/0a911f26/2022-2023/all_comps/Western-United-Women-Stats-All-Competitions,Female,2022,128,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/0a911f26.png
23,23,Austria Football Clubs,FC-Bergheim,117f88e3,https://fbref.com/en/squads/117f88e3/2022-2023/all_comps/FC-Bergheim-Stats-All-Competitions,Female,2022,133,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/117f88e3.png
24,24,Austria Football Clubs,Red-Bull-Salzburg,50f2a074,https://fbref.com/en/squads/50f2a074/2022-2023/all_comps/Red-Bull-Salzburg-Stats-All-Competitions,Male,2022,137,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/50f2a074.png
25,25,Austria Football Clubs,Wacker-Innsbruck-Women,f2370380,https://fbref.com/en/squads/f2370380/2022-2023/all_comps/Wacker-Innsbruck-Women-Stats-All-Competitions,Female,2022,141,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/f2370380.png
26,26,Austria Football Clubs,Vorderland,828e25c7,https://fbref.com/en/squads/828e25c7/2022-2023/all_comps/Vorderland-Stats-All-Competitions,Female,2022,144,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/828e25c7.png
27,27,Austria Football Clubs,First-Vienna-FC,424e506f,https://fbref.com/en/squads/424e506f/2022-2023/all_comps/First-Vienna-FC-Stats-All-Competitions,Female,2022,145,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/424e506f.png
28,28,Austria Football Clubs,Austria-Wien,ee0bccc5,https://fbref.com/en/squads/ee0bccc5/2022-2023/all_comps/Austria-Wien-Stats-All-Competitions,Male,2022,146,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/ee0bccc5.png
29,29,Austria Football Clubs,LASK,d20821dd,https://fbref.com/en/squads/d20821dd/2022-2023/all_comps/LASK-Stats-All-Competitions,Male,2022,149,http://cdn.ssref.net/scripts/image_resize.cgi?min=200&url=https://cdn.ssref.net/req/202309261/tlogo/fb/d20821dd.png
