,Unnamed: 0,Player,Nation,Pos,Age,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Progression - PrgC,Progression - PrgP,Progression - PrgR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,Matches,team,MP,country_full_name
115,115,Leia Puxty,AUS,DF,18.0,11.0,5,475.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,3.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,Matches,Newcastle-Jets-Women,,Australia
116,116,Tessa Tamplin,AUS,"DF,FW",21.0,6.0,5,439.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,6.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,Newcastle-Jets-Women,,Australia
117,117,Lara Gooch,AUS,FW,17.0,8.0,4,371.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.9,1.7,12.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0,0.18,0.23,0.4,0.18,0.4,Matches,Newcastle-Jets-Women,,Australia
118,118,Emily Roach,AUS,"DF,FW",19.0,5.0,3,292.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,0.5,3.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.15,0.07,0.15,Matches,Newcastle-Jets-Women,,Australia
119,119,Claire Coelho,AUS,GK,26.0,4.0,3,286.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Newcastle-Jets-Women,,Australia
120,120,Sophie Stapleford,AUS,FW,28.0,11.0,3,277.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,5.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.09,0.08,0.18,0.09,0.18,Matches,Newcastle-Jets-Women,,Australia
121,121,Chloe Walandouw,AUS,DF,16.0,5.0,3,196.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Newcastle-Jets-Women,,Australia
122,122,Adriana Jones,AUS,"FW,MF",,9.0,2,272.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.1,2.1,0.1,2.2,3.0,4.0,15.0,0.33,0.0,0.33,0.33,0.33,0.69,0.03,0.72,0.69,0.72,Matches,Newcastle-Jets-Women,,Australia
123,123,Josie Allan,AUS,"FW,MF",16.0,5.0,0,42.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Newcastle-Jets-Women,,Australia
124,124,Josie Morley,AUS,"FW,MF",19.0,2.0,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,Newcastle-Jets-Women,,Australia
